axis,param,value,seed,n_steps,n_cancer,n_genes,shannon,n_subclones,tmb,tmb_frac,driver_enrichment,clone_confinement,fga,mean_ploidy,hypoxia_contrast,deme_occupancy,vaf_1f_rsq,program_within_clone_frac,degenerate,flags
mutation_rate,mutation_rate,0.001,0,1600,410,1000,0.149262444689386,1,0.00975609756097561,9.75609756097561e-06,2.893410452385871,,0.0039024390243902443,1.9960975609756098,,4.0594059405940595,,,True,monoclonal|low_mutation
mutation_rate,mutation_rate,0.001,1,1600,480,1000,0.18236747728557287,1,0.029166666666666667,2.9166666666666666e-05,0.6685076138903854,,0.0037500000000000003,1.9979166666666663,,3.75,,,True,monoclonal|low_mutation
mutation_rate,mutation_rate,0.001,2,1600,412,1000,0.1486574417395012,1,0.009708737864077669,9.70873786407767e-06,2.8934568799215707,,0.0038834951456310682,1.996116504854369,,4.079207920792079,,,True,monoclonal|low_mutation
mutation_rate,mutation_rate,0.02,0,1600,388,1000,3.088480107613734,12,4.492268041237113,0.004492268041237113,1.7445962503399344,0.2920299070194379,0.07474226804123706,1.9902061855670101,,4.127659574468085,0.5592676460600401,,False,
mutation_rate,mutation_rate,0.02,1,1600,382,1000,3.476058860213735,23,7.515706806282722,0.0075157068062827225,1.0675378154696489,0.3963818220730885,0.09319371727748693,1.991623036649215,,4.292134831460674,0.9279491372157204,,False,
mutation_rate,mutation_rate,0.02,2,1600,396,1000,3.022360527887124,17,6.911616161616162,0.006911616161616162,1.5868865459228056,0.36298715272369,0.09040404040404042,1.9858585858585858,,4.212765957446808,0.3896894847054342,,False,
mutation_rate,mutation_rate,0.1,0,1600,348,1000,4.987240258286246,16,14.112068965517242,0.014112068965517243,0.756564524088837,0.626868412043851,0.20402298850574754,2.0051724137931037,,4.405063291139241,0.6588972345092593,,False,
mutation_rate,mutation_rate,0.1,1,1600,304,1000,5.051026780917994,14,6.8355263157894735,0.006835526315789473,1.6707911032808214,0.7081597680945841,0.41842105263157925,2.15328947368421,,4.606060606060606,0.4731506072488033,,False,
mutation_rate,mutation_rate,0.1,2,1600,324,1000,5.075194939221506,11,6.558641975308642,0.006558641975308642,0.7318225094955523,0.605920651481457,0.3000000000000005,2.007407407407407,,4.563380281690141,0.17336247377779512,,False,
mutation_rate,mutation_rate,0.2,0,1600,316,1000,4.977003957037314,14,8.727848101265822,0.008727848101265822,1.6666836543594599,0.651785043605809,0.6658227848101269,1.4639240506329105,,4.450704225352113,0.8875606473158418,,False,
mutation_rate,mutation_rate,0.2,1,1600,270,1000,4.996891212111054,12,13.151851851851852,0.013151851851851852,0.3061550720561538,0.5817955485004804,0.36962962962962975,1.7622222222222255,,4.655172413793103,0.9008470695681778,,False,
mutation_rate,mutation_rate,0.2,2,1600,284,1000,4.9896697227761955,20,10.67605633802817,0.01067605633802817,1.2597748246796523,0.659087565149888,0.38309859154929604,2.037323943661972,,4.507936507936508,0.7103248233024768,,False,
mutation_rate,mutation_rate,0.5,0,1600,221,1000,4.974249832989384,8,16.95022624434389,0.01695022624434389,1.530908665703305,0.6789773614094514,0.5628959276018095,1.9167420814479648,,4.804347826086956,0.9862986503769345,,False,
mutation_rate,mutation_rate,0.5,1,1600,278,1000,5.255308045080059,18,16.697841726618705,0.016697841726618704,2.1976275500954716,0.7234360972656665,0.5338129496402877,1.910071942446044,,4.793103448275862,0.6470696857069591,,False,
mutation_rate,mutation_rate,0.5,2,1600,232,1000,5.22327512351132,9,13.84051724137931,0.013840517241379309,1.105761952022075,0.7284731987732143,0.5681034482758615,2.261206896551724,,4.9361702127659575,0.9802561577584442,,False,
mutation_rate,mutation_rate,1.0,0,1600,172,1000,4.995930428809215,14,15.569767441860465,0.015569767441860465,1.307497693278577,0.723896778004711,0.6383720930232549,1.9034883720930234,,5.733333333333333,0.9711417197081399,,False,
mutation_rate,mutation_rate,1.0,1,1600,200,1000,5.098086424202737,22,17.975,0.017975,1.378147185428411,0.7881127869817095,0.5719999999999996,2.1550000000000002,,5.0,0.8301384872281072,,False,
mutation_rate,mutation_rate,1.0,2,1600,196,1000,5.166681436249256,13,11.46938775510204,0.011469387755102041,1.471289500577047,0.7801238775142603,0.5785714285714281,1.8714285714285703,,5.297297297297297,0.9455010257228811,,False,
mutation_rate,mutation_rate,2.0,0,1600,159,1000,4.849161846220545,15,14.119496855345911,0.014119496855345911,1.7733769225952798,0.6899932670154623,0.851572327044025,1.2490566037735846,,5.129032258064516,0.9648049967237811,,False,
mutation_rate,mutation_rate,2.0,1,1600,136,1000,4.766100700446031,10,27.00735294117647,0.027007352941176472,1.0851289216349462,0.6039637032699187,0.5308823529411764,2.1088235294117648,,5.037037037037037,0.9649657044917237,,False,
mutation_rate,mutation_rate,2.0,2,1600,124,1000,4.775562392665686,4,25.451612903225808,0.02545161290322581,1.3512352467437474,0.7538170180413346,0.6112903225806448,2.2209677419354845,,5.391304347826087,0.9599520487694879,,False,
mutation_rate,mutation_rate,4.0,0,1600,117,1000,4.702930586031949,5,28.39316239316239,0.02839316239316239,1.3263907341560224,0.6666666666666667,0.7794871794871784,2.066666666666667,,5.318181818181818,0.9715565260827721,,False,
mutation_rate,mutation_rate,4.0,1,1600,94,1000,4.513799157565325,92,27.56382978723404,0.027563829787234043,1.3852115945463153,0.9886974980272893,0.7063829787234037,1.7808510638297872,,5.222222222222222,0.9808919482572843,,False,
mutation_rate,mutation_rate,4.0,2,1600,68,1000,4.158347659832583,65,37.89705882352941,0.037897058823529416,1.2729625784134657,0.9760413648132296,0.6176470588235295,2.3088235294117645,,4.857142857142857,0.8110368801701883,,False,
n_snvs_per_allele,n_snvs_per_allele,0.01,0,1600,366,1000,5.13206884561763,14,2.8060109289617485,0.0028060109289617485,0.2873050262741603,0.6470717656413576,0.7027322404371595,1.5142076502732245,,4.632911392405063,0.7134603339381651,,False,
n_snvs_per_allele,n_snvs_per_allele,0.01,1,1600,292,1000,5.250840548982045,18,4.256849315068493,0.004256849315068493,0.5481179115647702,0.7365546731965431,0.3931506849315073,1.897945205479452,,4.634920634920635,0.8807959865240307,,False,
n_snvs_per_allele,n_snvs_per_allele,0.01,2,1600,238,1000,5.096111594421854,13,5.3277310924369745,0.005327731092436974,3.19147476774394,0.7327608831488184,0.2949579831932774,1.9142857142857141,,4.666666666666667,0.9106013240662566,,False,
n_snvs_per_allele,n_snvs_per_allele,0.1,0,1600,310,1000,5.206208238031964,9,5.870967741935484,0.005870967741935484,0.7341340361612332,0.6788892918164091,0.6122580645161287,1.678709677419355,,4.5588235294117645,0.6989510648045434,,False,
n_snvs_per_allele,n_snvs_per_allele,0.1,1,1600,286,1000,5.075931047548735,19,6.283216783216783,0.006283216783216783,2.2445045422179084,0.6436440533791784,0.44335664335664343,1.8328671328671333,,4.46875,0.7933456144377631,,False,
n_snvs_per_allele,n_snvs_per_allele,0.1,2,1600,274,1000,5.167568174926684,14,9.091240875912408,0.009091240875912409,2.4468952088739018,0.7338114969541449,0.353284671532847,2.1000000000000005,,4.6440677966101696,0.5364947745858397,,False,
n_snvs_per_allele,n_snvs_per_allele,0.3,0,1600,316,1000,4.977003957037314,14,8.727848101265822,0.008727848101265822,1.6666836543594599,0.651785043605809,0.6658227848101269,1.4639240506329105,,4.450704225352113,0.8875606473158418,,False,
n_snvs_per_allele,n_snvs_per_allele,0.3,1,1600,270,1000,4.996891212111054,12,13.151851851851852,0.013151851851851852,0.3061550720561538,0.5817955485004804,0.36962962962962975,1.7622222222222255,,4.655172413793103,0.9008470695681778,,False,
n_snvs_per_allele,n_snvs_per_allele,0.3,2,1600,284,1000,4.9896697227761955,20,10.67605633802817,0.01067605633802817,1.2597748246796523,0.659087565149888,0.38309859154929604,2.037323943661972,,4.507936507936508,0.7103248233024768,,False,
n_snvs_per_allele,n_snvs_per_allele,1.0,0,1600,340,1000,5.087848687441063,17,37.36176470588235,0.03736176470588235,1.1782814254401972,0.6503907586237356,0.4205882352941179,1.7011764705882362,,4.857142857142857,0.9846373012565853,,False,
n_snvs_per_allele,n_snvs_per_allele,1.0,1,1600,252,1000,5.069920229362033,17,35.8968253968254,0.0358968253968254,1.5999485246663456,0.7267416292547024,0.3396825396825399,1.864285714285714,,4.666666666666667,0.969743597652961,,False,
n_snvs_per_allele,n_snvs_per_allele,1.0,2,1600,312,1000,5.162369485119538,12,31.076923076923077,0.03107692307692308,1.9438883913088836,0.6093529598681944,0.3628205128205136,1.789102564102566,,4.521739130434782,0.8620073400250557,,False,
n_snvs_per_allele,n_snvs_per_allele,3.0,0,1600,376,1000,4.472959519899316,25,127.80851063829788,0.12780851063829787,1.20221782620614,0.6756010477199792,0.2978723404255324,1.8425531914893614,,3.8762886597938144,0.796920313248761,,False,
n_snvs_per_allele,n_snvs_per_allele,3.0,1,1600,344,1000,4.715032178936223,21,87.45930232558139,0.08745930232558138,0.954864565467826,0.6344828482545828,0.33197674418604683,1.8686046511627903,,4.3544303797468356,0.9779476150701443,,False,
n_snvs_per_allele,n_snvs_per_allele,3.0,2,1600,360,1000,4.547749628338445,22,84.49166666666666,0.08449166666666666,1.1454214842455648,0.5975818772821702,0.3372222222222226,1.7844444444444443,,4.137931034482759,0.9338727511309854,,False,
n_snvs_per_allele,n_snvs_per_allele,8.0,0,1600,366,1000,4.254182198449701,18,190.98907103825135,0.19098907103825136,0.9421586187941436,0.5338485181629647,0.20874316939890739,1.9491803278688518,,4.409638554216867,0.9916466411014884,,False,
n_snvs_per_allele,n_snvs_per_allele,8.0,1,1600,384,1000,4.231778733280666,26,171.70833333333334,0.17170833333333335,0.9102339626765501,0.5542033154105592,0.22187500000000024,1.8546874999999983,,4.21978021978022,0.978010315046314,,False,
